title,points,price,variety,country,alcohol,sommelier
Robert Biale 2014 Limerick Lane Vineyard Zinfandel (Russian River Valley),96,62.0,Zinfandel,US,14.8,Virginie Boone
Proprietà Sperino 2011  Lessona,96,72.0,Nebbiolo,Italy,14.0,Kerin O’Keefe
